Mes	TVC
jan/00	73,08
fev/00	79,89
mar/00	83,92
abr/00	92,14
mai/00	113,8
jun/00	106,53
jul/00	104,09
ago/00	97,58
set/00	88,36
out/00	92,33
nov/00	105,44
dez/00	197,08
jan/01	78,91
fev/01	79,11
mar/01	89,92
abr/01	89,05
mai/01	117,68
jun/01	107,41
jul/01	97,65
ago/01	100,98
set/01	88,23
out/01	98,89
nov/01	106,8
dez/01	199,2
jan/02	79,11
fev/02	76,18
mar/02	86,37
abr/02	87,98
mai/02	109,9
jun/02	99,69
jul/02	103,22
ago/02	103,26
set/02	88,6
out/02	99,47
nov/02	107,24
dez/02	197,07
jan/03	78,34
fev/03	80,6
mar/03	81,72
abr/03	87,72
mai/03	97,45
jun/03	95,1
jul/03	96,7
ago/03	96,38
set/03	85,68
out/03	97,62
nov/03	104,17
dez/03	198,52
jan/04	79,67
fev/04	75,87
mar/04	87,54
abr/04	87,58
mai/04	119,9
jun/04	108,53
jul/04	104,34
ago/04	95,33
set/04	89,16
out/04	96,24
nov/04	104,33
dez/04	208,08
jan/05	82,98
fev/05	75,99
mar/05	88,08
abr/05	100,56
mai/05	112,6
jun/05	109,95
jul/05	111,87
ago/05	105,5
set/05	99,39
out/05	105,07
nov/05	113,16
dez/05	225,11
jan/06	89,79
fev/06	80,57
mar/06	88,99
abr/06	97,34
mai/06	123,07
jun/06	107,09
jul/06	106,25
ago/06	106,83
set/06	102,04
out/06	103,59
nov/06	121,09
dez/06	229,41
jan/07	95,63
fev/07	83,34
mar/07	97,91
abr/07	101,46
mai/07	142,9
jun/07	124,54
jul/07	117,25
ago/07	120,68
set/07	109,19
out/07	119,34
nov/07	135,89
dez/07	251,64
jan/08	110,35
fev/08	93,74
mar/08	109,62
abr/08	121,45
mai/08	148,37
jun/08	137,36
jul/08	127,09
ago/08	125,94
set/08	119,45
out/08	119,66
nov/08	124,04
dez/08	235,29
jan/09	105,13
fev/09	87,3
mar/09	100,57
abr/09	109,77
mai/09	132,45
jun/09	135,96
jul/09	124,29
ago/09	118,7
set/09	111,53
out/09	124,27
nov/09	130,05
dez/09	249,54
jan/10	107,52
fev/10	97,07
mar/10	116,36
abr/10	128,05
mai/10	148,18
jun/10	141,87
jul/10	140,13
ago/10	134,2
set/10	125,88
out/10	136,66
nov/10	142,11
dez/10	273,95
jan/11	118,01
fev/11	110,8
mar/11	122,94
abr/11	129,98
mai/11	156,42
jun/11	157,86
jul/11	142,05
ago/11	135,33
set/11	126,7
out/11	133,68
nov/11	142,72
dez/11	275,99
